Name,Name short,Lat,Long,Radius,Coalition
SAMSITE-19,19,34.296720400221,35.671975272423,140,Neutral
SAMSITE-32,32,32.674983490654,35.180011639421,140,Neutral
SAMSITE-10,10,35.570394863547,35.746558366295,140,Neutral
SAMSITE-12,12,35.807708519548,36.399612918067,140,Neutral
SAMSITE-15,15,34.556741278981,38.291111701842,140,Neutral
SAMSITE-33,33,32.602379001395,35.246691824329,140,Neutral
SAMSITE-30,30,32.37271281591,36.256856342796,140,Neutral
SAMSITE-2,2,36.373610483304,36.228281529074,140,Neutral
SAMSITE-31,31,32.805367518437,35.036739396904,140,Neutral
SAMSITE-13,13,35.110825487837,36.695494675591,140,Neutral
SAMSITE-26,26,33.052249340325,36.561491333779,140,Neutral
SAMSITE-20,20,33.78188144812,35.48456702902,140,Neutral
SAMSITE-4,4,36.179175692935,37.063578651197,140,Neutral
SAMSITE-3,3,36.509075463345,37.035423817813,140,Neutral
SAMSITE-25,25,33.2261366106,35.600793168056,140,Neutral
SAMSITE-23,23,33.402787808939,36.550143262455,140,Neutral
SAMSITE-24,24,33.384584028661,36.20017943606,140,Neutral
SAMSITE-16,16,34.601891553852,36.027486548968,140,Neutral
SAMSITE-11,11,35.389832794367,35.926554743384,140,Neutral
SAMSITE-22,22,33.420591669091,36.494513336697,140,Neutral
SAMSITE-8,8,35.748005451105,38.524542706461,140,Neutral
SAMSITE-7,7,36.076900376318,37.909921632009,140,Neutral
SAMSITE-1,1,36.983896567736,35.445168979995,140,Neutral
SAMSITE-27,27,33.436880218556,38.823669895822,140,Neutral
SAMSITE-28,28,32.676775295546,36.73180252918,140,Neutral
SAMSITE-21,21,33.850582518367,35.968541490097,140,Neutral
SAMSITE-14,14,34.886680254875,38.299484566714,140,Neutral
SAMSITE-17,17,34.553973177858,36.572663452125,140,Neutral
SAMSITE-29,29,32.431635951796,35.832191728578,140,Neutral
SAMSITE-9,9,35.960011836213,36.744767312966,140,Neutral
SAMSITE-18,18,33.92772808564,36.864127970177,140,Neutral
SAMSITE-6,6,35.72250468743,37.081393460833,140,Neutral
SAMSITE-5,5,36.172388427511,37.543016377662,140,Neutral
